compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
Diclofenac,50.0,6.06374979019165,2.021250009536743,8.085000038146973,0.32875004410743713,0.08250000327825546,1.0,10.0,10.0,1.0,10.0,,,2.8046960830688477,,
Carbamazepine,200.0,1.9590576887130737,0.6530192494392395,2.612076997756958,2.293750047683716,0.7124999761581421,4.75,40.0,40.0,1.0,40.0,,,4.458596706390381,,
Atenolol,50.0,6.06374979019165,2.021250009536743,8.085000038146973,1.6387498378753662,0.5024999976158142,3.3499999046325684,10.0,10.0,1.0,10.0,,,2.75881290435791,,
Metformin,500.0,31.184999465942383,10.395000457763672,41.58000183105469,7.019108295440674,1.0,14.850000381469727,100.0,100.0,1.0,100.0,,,7.6283698081970215,,
Furosemide,40.0,4.1579999923706055,1.3860000371932983,5.544000148773193,0.2819642424583435,0.06750000268220901,1.0,8.0,8.0,1.0,8.0,,,2.6743128299713135,,
Theophylline,300.0,2.2739062309265137,0.7579687237739563,3.031874895095825,0.8200000524520874,0.23999999463558197,1.600000023841858,60.0,60.0,1.0,60.0,,,5.646711349487305,,
Phenytoin,300.0,1.0631250143051147,0.3543750047683716,1.4175000190734863,1.0539286136627197,0.3149999976158142,2.0999999046325684,60.0,60.0,1.0,60.0,,,5.628268241882324,,
Enalapril,10.0,10.395000457763672,3.4649999141693115,13.860000610351562,0.9369643330574036,0.2775000035762787,1.850000023841858,2.0,2.0,1.0,2.0,,,2.2945756912231445,,
Clopidogrel,75.0,25.987499237060547,8.662500381469727,34.650001525878906,7.019108295440674,1.0,14.850000381469727,15.0,15.0,1.0,15.0,,,2.8867835998535156,,
Simvastatin,20.0,90.95625305175781,30.318750381469727,121.2750015258789,8.188751220703125,1.0,17.350000381469727,4.0,4.0,1.0,4.0,,,2.5222063064575195,,
Amoxicillin,500.0,10.395000457763672,3.4649999141693115,13.860000610351562,0.4691072106361389,0.1274999976158142,1.0,100.0,100.0,1.0,100.0,,,7.824114799499512,,
Omeprazole,20.0,12.993749618530273,4.331250190734863,17.325000762939453,0.5860714912414551,0.16500000655651093,1.100000023841858,4.0,4.0,1.0,4.0,,,2.3911001682281494,,
Fluoxetine,20.0,10.828125,3.609375,14.4375,9.428571701049805,1.0,20.0,4.0,4.0,1.0,4.0,,,2.319308280944824,,
Sertraline,50.0,27.98653793334961,9.328845977783203,37.31538391113281,9.428571701049805,1.0,20.0,10.0,10.0,1.0,10.0,,,2.626070499420166,,
Paroxetine,20.0,27.225000381469727,9.074999809265137,36.29999923706055,9.428571701049805,1.0,20.0,4.0,4.0,1.0,4.0,,,2.3266894817352295,,
Citalopram,20.0,14.850000381469727,4.949999809265137,19.799999237060547,9.428571701049805,1.0,20.0,4.0,4.0,1.0,4.0,,,2.2942159175872803,,
